experiment,subject,condition,total_trial_num,block_num,image_name,is_right
2A,crn_2A_p1,low,1,1,low_B_110_2,1
2A,crn_2A_p1,low,2,1,low_B_101_1,0
2A,crn_2A_p1,high,3,1,high_A_000_2,0
2A,crn_2A_p1,low,4,1,low_B_111_1,0
2A,crn_2A_p1,low,5,1,low_A_000_1,0
2A,crn_2A_p1,high,6,1,high_A_010_2,0
2A,crn_2A_p1,high,7,1,high_B_111_1,0
2A,crn_2A_p1,high,8,1,high_A_000_1,0
2A,crn_2A_p1,high,9,1,high_B_101_2,0
2A,crn_2A_p1,high,10,1,high_B_111_2,0
2A,crn_2A_p1,low,11,1,low_A_001_1,1
2A,crn_2A_p1,low,12,1,low_A_000_1,0
2A,crn_2A_p1,high,13,1,high_A_001_2,0
2A,crn_2A_p1,low,14,1,low_B_111_2,1
2A,crn_2A_p1,high,15,1,high_B_110_2,0
2A,crn_2A_p1,low,16,1,low_A_010_1,0
2A,crn_2A_p1,high,17,2,high_A_000_1,0
2A,crn_2A_p1,high,18,2,high_B_101_2,1
2A,crn_2A_p1,low,19,2,low_A_010_1,1
2A,crn_2A_p1,low,20,2,low_A_001_2,0
2A,crn_2A_p1,low,21,2,low_B_110_1,0
2A,crn_2A_p1,high,22,2,high_A_010_2,0
2A,crn_2A_p1,low,23,2,low_B_111_1,0
2A,crn_2A_p1,high,24,2,high_A_001_1,0
2A,crn_2A_p1,high,25,2,high_A_000_1,0
2A,crn_2A_p1,low,26,2,low_A_000_2,0
2A,crn_2A_p1,low,27,2,low_B_101_2,0
2A,crn_2A_p1,low,28,2,low_A_000_2,0
2A,crn_2A_p1,high,29,2,high_B_111_2,0
2A,crn_2A_p1,high,30,2,high_B_111_1,1
2A,crn_2A_p1,low,31,2,low_B_111_1,0
2A,crn_2A_p1,high,32,2,high_B_110_2,0
2A,crn_2A_p1,high,33,3,high_B_110_1,0
2A,crn_2A_p1,high,34,3,high_B_111_2,1
2A,crn_2A_p1,low,35,3,low_A_010_2,0
2A,crn_2A_p1,high,36,3,high_A_001_2,1
2A,crn_2A_p1,low,37,3,low_A_000_1,1
2A,crn_2A_p1,low,38,3,low_A_001_2,1
2A,crn_2A_p1,low,39,3,low_A_000_1,1
2A,crn_2A_p1,high,40,3,high_A_000_2,0
2A,crn_2A_p1,high,41,3,high_B_101_2,0
2A,crn_2A_p1,low,42,3,low_B_111_1,0
2A,crn_2A_p1,low,43,3,low_B_111_1,1
2A,crn_2A_p1,high,44,3,high_A_010_1,0
2A,crn_2A_p1,low,45,3,low_B_110_2,0
2A,crn_2A_p1,high,46,3,high_B_111_1,1
2A,crn_2A_p1,high,47,3,high_A_000_2,1
2A,crn_2A_p1,low,48,3,low_B_101_1,0
2A,crn_2A_p1,low,49,4,low_B_111_2,1
2A,crn_2A_p1,high,50,4,high_B_101_1,1
2A,crn_2A_p1,low,51,4,low_A_000_1,1
2A,crn_2A_p1,low,52,4,low_B_101_1,1
2A,crn_2A_p1,low,53,4,low_B_111_2,1
2A,crn_2A_p1,high,54,4,high_B_110_1,0
2A,crn_2A_p1,low,55,4,low_A_010_1,0
2A,crn_2A_p1,low,56,4,low_A_001_1,1
2A,crn_2A_p1,high,57,4,high_B_111_2,0
2A,crn_2A_p1,low,58,4,low_B_110_1,1
2A,crn_2A_p1,high,59,4,high_A_001_2,1
2A,crn_2A_p1,low,60,4,low_A_000_2,0
2A,crn_2A_p1,high,61,4,high_A_000_2,0
2A,crn_2A_p1,high,62,4,high_B_111_1,0
2A,crn_2A_p1,high,63,4,high_A_000_2,1
2A,crn_2A_p1,high,64,4,high_A_010_2,1
2A,crn_2A_p1,low,65,5,low_A_010_2,0
2A,crn_2A_p1,high,66,5,high_B_110_1,0
2A,crn_2A_p1,high,67,5,high_A_000_1,0
2A,crn_2A_p1,low,68,5,low_B_111_2,1
2A,crn_2A_p1,high,69,5,high_A_001_1,1
2A,crn_2A_p1,low,70,5,low_B_110_2,1
2A,crn_2A_p1,low,71,5,low_A_001_2,0
2A,crn_2A_p1,low,72,5,low_B_111_1,0
2A,crn_2A_p1,high,73,5,high_B_111_2,0
2A,crn_2A_p1,high,74,5,high_B_111_1,1
2A,crn_2A_p1,high,75,5,high_B_101_1,1
2A,crn_2A_p1,low,76,5,low_A_000_1,0
2A,crn_2A_p1,low,77,5,low_A_000_2,1
2A,crn_2A_p1,high,78,5,high_A_000_2,0
2A,crn_2A_p1,high,79,5,high_A_010_1,1
2A,crn_2A_p1,low,80,5,low_B_101_2,1
2A,crn_2A_p1,high,81,6,high_A_000_1,1
2A,crn_2A_p1,low,82,6,low_B_111_2,1
2A,crn_2A_p1,high,83,6,high_B_110_2,1
2A,crn_2A_p1,high,84,6,high_A_000_1,1
2A,crn_2A_p1,low,85,6,low_B_101_2,1
2A,crn_2A_p1,high,86,6,high_B_111_2,1
2A,crn_2A_p1,high,87,6,high_B_101_1,0
2A,crn_2A_p1,high,88,6,high_A_010_1,0
2A,crn_2A_p1,high,89,6,high_A_001_1,1
2A,crn_2A_p1,low,90,6,low_A_001_1,0
2A,crn_2A_p1,low,91,6,low_B_111_2,1
2A,crn_2A_p1,low,92,6,low_A_000_2,1
2A,crn_2A_p1,low,93,6,low_A_010_2,0
2A,crn_2A_p1,high,94,6,high_B_111_1,0
2A,crn_2A_p1,low,95,6,low_B_110_1,1
2A,crn_2A_p1,low,96,6,low_A_000_2,1
2A,crn_2A_p10,high,1,1,high_B_111_1,0
2A,crn_2A_p10,high,2,1,high_B_110_1,1
2A,crn_2A_p10,low,3,1,low_A_010_2,0
2A,crn_2A_p10,low,4,1,low_B_110_2,0
2A,crn_2A_p10,low,5,1,low_A_000_1,0
2A,crn_2A_p10,low,6,1,low_B_111_2,0
2A,crn_2A_p10,low,7,1,low_A_000_1,1
2A,crn_2A_p10,high,8,1,high_A_000_1,1
2A,crn_2A_p10,low,9,1,low_A_001_1,0
2A,crn_2A_p10,high,10,1,high_B_111_1,1
2A,crn_2A_p10,low,11,1,low_B_101_2,0
2A,crn_2A_p10,low,12,1,low_B_111_1,0
2A,crn_2A_p10,high,13,1,high_A_010_1,1
2A,crn_2A_p10,high,14,1,high_A_001_1,1
2A,crn_2A_p10,high,15,1,high_B_101_1,0
2A,crn_2A_p10,high,16,1,high_A_000_2,1
2A,crn_2A_p10,high,17,2,high_B_110_2,1
2A,crn_2A_p10,low,18,2,low_A_000_1,1
2A,crn_2A_p10,low,19,2,low_B_111_1,0
2A,crn_2A_p10,high,20,2,high_B_111_2,1
2A,crn_2A_p10,high,21,2,high_B_111_1,1
2A,crn_2A_p10,high,22,2,high_A_000_2,1
2A,crn_2A_p10,low,23,2,low_B_101_1,0
2A,crn_2A_p10,low,24,2,low_A_000_2,1
2A,crn_2A_p10,high,25,2,high_A_000_1,1
2A,crn_2A_p10,low,26,2,low_A_010_1,0
2A,crn_2A_p10,high,27,2,high_A_001_1,1
2A,crn_2A_p10,low,28,2,low_A_001_2,0
2A,crn_2A_p10,low,29,2,low_B_110_2,0
2A,crn_2A_p10,high,30,2,high_B_101_1,0
2A,crn_2A_p10,high,31,2,high_A_010_1,1
2A,crn_2A_p10,low,32,2,low_B_111_1,0
2A,crn_2A_p10,high,33,3,high_B_110_1,1
2A,crn_2A_p10,high,34,3,high_A_000_1,1
2A,crn_2A_p10,low,35,3,low_A_000_2,1
2A,crn_2A_p10,low,36,3,low_B_110_2,1
2A,crn_2A_p10,high,37,3,high_A_001_2,1
2A,crn_2A_p10,high,38,3,high_B_101_1,0
2A,crn_2A_p10,low,39,3,low_A_010_1,1
2A,crn_2A_p10,low,40,3,low_B_111_2,1
2A,crn_2A_p10,high,41,3,high_B_111_1,0
2A,crn_2A_p10,high,42,3,high_B_111_2,1
2A,crn_2A_p10,low,43,3,low_B_101_1,1
2A,crn_2A_p10,high,44,3,high_A_010_2,1
2A,crn_2A_p10,low,45,3,low_B_111_2,0
2A,crn_2A_p10,low,46,3,low_A_001_1,1
2A,crn_2A_p10,low,47,3,low_A_000_2,0
2A,crn_2A_p10,high,48,3,high_A_000_1,1
2A,crn_2A_p10,low,49,4,low_B_111_2,0
2A,crn_2A_p10,low,50,4,low_B_111_1,0
2A,crn_2A_p10,low,51,4,low_A_001_2,0
2A,crn_2A_p10,low,52,4,low_B_101_2,0
2A,crn_2A_p10,high,53,4,high_A_000_1,1
2A,crn_2A_p10,high,54,4,high_B_111_1,1
2A,crn_2A_p10,low,55,4,low_A_000_1,0
2A,crn_2A_p10,high,56,4,high_B_101_2,0
2A,crn_2A_p10,high,57,4,high_B_111_2,1
2A,crn_2A_p10,low,58,4,low_B_110_1,0
2A,crn_2A_p10,low,59,4,low_A_010_2,1
2A,crn_2A_p10,high,60,4,high_A_001_2,1
2A,crn_2A_p10,low,61,4,low_A_000_2,0
2A,crn_2A_p10,high,62,4,high_A_010_1,1
2A,crn_2A_p10,high,63,4,high_B_110_2,1
2A,crn_2A_p10,high,64,4,high_A_000_2,1
2A,crn_2A_p10,low,65,5,low_B_111_1,1
2A,crn_2A_p10,high,66,5,high_A_001_1,1
2A,crn_2A_p10,low,67,5,low_A_000_2,0
2A,crn_2A_p10,high,68,5,high_A_000_2,1
2A,crn_2A_p10,high,69,5,high_B_111_2,1
2A,crn_2A_p10,low,70,5,low_A_001_1,0
2A,crn_2A_p10,high,71,5,high_A_000_2,1
2A,crn_2A_p10,low,72,5,low_B_110_1,0
2A,crn_2A_p10,low,73,5,low_A_010_1,1
2A,crn_2A_p10,low,74,5,low_B_111_2,1
2A,crn_2A_p10,low,75,5,low_A_000_1,1
2A,crn_2A_p10,high,76,5,high_B_110_2,1
2A,crn_2A_p10,high,77,5,high_B_111_1,0
2A,crn_2A_p10,high,78,5,high_B_101_2,1
2A,crn_2A_p10,high,79,5,high_A_010_2,1
2A,crn_2A_p10,low,80,5,low_B_101_1,1
2A,crn_2A_p10,high,81,6,high_A_000_2,1
2A,crn_2A_p10,low,82,6,low_B_101_2,0
2A,crn_2A_p10,low,83,6,low_A_010_2,1
2A,crn_2A_p10,high,84,6,high_A_010_2,1
2A,crn_2A_p10,low,85,6,low_B_110_1,1
2A,crn_2A_p10,low,86,6,low_B_111_2,0
2A,crn_2A_p10,high,87,6,high_A_000_1,1
2A,crn_2A_p10,high,88,6,high_B_111_2,1
2A,crn_2A_p10,low,89,6,low_A_000_2,0
2A,crn_2A_p10,high,90,6,high_A_001_2,1
2A,crn_2A_p10,high,91,6,high_B_111_2,1
2A,crn_2A_p10,low,92,6,low_A_000_1,0
2A,crn_2A_p10,high,93,6,high_B_101_2,0
2A,crn_2A_p10,low,94,6,low_B_111_1,0
2A,crn_2A_p10,high,95,6,high_B_110_1,1
2A,crn_2A_p10,low,96,6,low_A_001_2,1
2A,crn_2A_p11,high,1,1,high_A_000_1,1
2A,crn_2A_p11,high,2,1,high_A_010_1,0
2A,crn_2A_p11,high,3,1,high_B_111_2,1
2A,crn_2A_p11,high,4,1,high_B_111_2,0
2A,crn_2A_p11,low,5,1,low_B_110_2,0
2A,crn_2A_p11,low,6,1,low_A_000_1,0
2A,crn_2A_p11,low,7,1,low_B_111_2,0
2A,crn_2A_p11,low,8,1,low_A_010_1,0
2A,crn_2A_p11,low,9,1,low_A_000_2,0
2A,crn_2A_p11,high,10,1,high_B_101_1,0
2A,crn_2A_p11,low,11,1,low_A_001_2,1
2A,crn_2A_p11,high,12,1,high_A_000_2,1
2A,crn_2A_p11,high,13,1,high_B_110_2,1
2A,crn_2A_p11,low,14,1,low_B_111_1,0
2A,crn_2A_p11,high,15,1,high_A_001_2,1
2A,crn_2A_p11,low,16,1,low_B_101_1,1
2A,crn_2A_p11,low,17,2,low_A_000_1,1
2A,crn_2A_p11,low,18,2,low_A_001_2,0
2A,crn_2A_p11,high,19,2,high_A_000_1,0
2A,crn_2A_p11,high,20,2,high_A_001_1,1
2A,crn_2A_p11,low,21,2,low_B_101_2,1
2A,crn_2A_p11,low,22,2,low_B_110_2,0
2A,crn_2A_p11,high,23,2,high_B_101_2,0
2A,crn_2A_p11,high,24,2,high_A_010_2,1
2A,crn_2A_p11,high,25,2,high_A_000_2,0
2A,crn_2A_p11,high,26,2,high_B_111_1,0
2A,crn_2A_p11,high,27,2,high_B_110_1,0
2A,crn_2A_p11,low,28,2,low_A_010_2,0
2A,crn_2A_p11,low,29,2,low_B_111_2,1
2A,crn_2A_p11,high,30,2,high_B_111_1,0
2A,crn_2A_p11,low,31,2,low_B_111_2,1
2A,crn_2A_p11,low,32,2,low_A_000_2,1
2A,crn_2A_p11,high,33,3,high_B_111_2,0
2A,crn_2A_p11,high,34,3,high_A_010_2,1
2A,crn_2A_p11,high,35,3,high_A_001_1,0
2A,crn_2A_p11,low,36,3,low_B_101_1,1
2A,crn_2A_p11,low,37,3,low_A_000_2,0
2A,crn_2A_p11,low,38,3,low_B_110_1,1
2A,crn_2A_p11,high,39,3,high_A_000_2,1
2A,crn_2A_p11,high,40,3,high_A_000_2,1
2A,crn_2A_p11,low,41,3,low_A_010_2,1
2A,crn_2A_p11,low,42,3,low_A_001_1,0
2A,crn_2A_p11,low,43,3,low_B_111_1,1
2A,crn_2A_p11,high,44,3,high_B_101_2,0
2A,crn_2A_p11,low,45,3,low_B_111_1,1
2A,crn_2A_p11,high,46,3,high_B_110_2,0
2A,crn_2A_p11,high,47,3,high_B_111_1,0
2A,crn_2A_p11,low,48,3,low_A_000_2,0
2A,crn_2A_p11,high,49,4,high_A_000_2,1
2A,crn_2A_p11,high,50,4,high_A_000_1,1
2A,crn_2A_p11,low,51,4,low_B_110_2,1
2A,crn_2A_p11,high,52,4,high_B_110_1,1
2A,crn_2A_p11,low,53,4,low_A_001_1,1
2A,crn_2A_p11,low,54,4,low_B_101_1,1
2A,crn_2A_p11,low,55,4,low_A_000_2,1
2A,crn_2A_p11,high,56,4,high_A_001_2,1
2A,crn_2A_p11,low,57,4,low_B_111_1,0
2A,crn_2A_p11,low,58,4,low_B_111_1,1
2A,crn_2A_p11,high,59,4,high_A_010_1,1
2A,crn_2A_p11,high,60,4,high_B_111_2,1
2A,crn_2A_p11,low,61,4,low_A_010_1,1
2A,crn_2A_p11,high,62,4,high_B_101_1,1
2A,crn_2A_p11,low,63,4,low_A_000_1,0
2A,crn_2A_p11,high,64,4,high_B_111_1,1
2A,crn_2A_p11,low,65,5,low_A_010_2,0
2A,crn_2A_p11,low,66,5,low_A_001_1,0
2A,crn_2A_p11,low,67,5,low_A_000_2,1
2A,crn_2A_p11,high,68,5,high_A_010_2,1
2A,crn_2A_p11,high,69,5,high_A_000_1,1
2A,crn_2A_p11,low,70,5,low_B_101_2,0
2A,crn_2A_p11,low,71,5,low_B_111_1,1
2A,crn_2A_p11,high,72,5,high_B_101_2,1
2A,crn_2A_p11,high,73,5,high_B_111_2,1
2A,crn_2A_p11,low,74,5,low_B_111_2,0
2A,crn_2A_p11,high,75,5,high_A_001_1,1
2A,crn_2A_p11,high,76,5,high_B_110_1,1
2A,crn_2A_p11,high,77,5,high_A_000_1,1
2A,crn_2A_p11,high,78,5,high_B_111_2,1
2A,crn_2A_p11,low,79,5,low_A_000_1,0
2A,crn_2A_p11,low,80,5,low_B_110_1,1
2A,crn_2A_p11,high,81,6,high_B_101_1,1
2A,crn_2A_p11,high,82,6,high_A_000_2,1
2A,crn_2A_p11,high,83,6,high_B_111_1,1
2A,crn_2A_p11,low,84,6,low_A_000_1,0
2A,crn_2A_p11,high,85,6,high_A_010_1,0
2A,crn_2A_p11,low,86,6,low_A_010_1,0
2A,crn_2A_p11,high,87,6,high_A_001_2,1
2A,crn_2A_p11,low,88,6,low_B_111_2,0
2A,crn_2A_p11,low,89,6,low_A_000_1,0
2A,crn_2A_p11,high,90,6,high_B_110_2,1
2A,crn_2A_p11,low,91,6,low_B_111_2,1
2A,crn_2A_p11,low,92,6,low_B_101_2,1
2A,crn_2A_p11,high,93,6,high_A_000_1,1
2A,crn_2A_p11,low,94,6,low_B_110_1,0
2A,crn_2A_p11,high,95,6,high_B_111_1,1
2A,crn_2A_p11,low,96,6,low_A_001_2,0
2A,crn_2A_p12,high,1,1,high_B_111_1,0
2A,crn_2A_p12,low,2,1,low_A_010_2,0
2A,crn_2A_p12,low,3,1,low_B_101_2,1
2A,crn_2A_p12,high,4,1,high_B_101_2,0
2A,crn_2A_p12,high,5,1,high_A_000_2,0
2A,crn_2A_p12,high,6,1,high_A_010_1,0
2A,crn_2A_p12,high,7,1,high_A_000_1,0
2A,crn_2A_p12,high,8,1,high_B_110_1,0
2A,crn_2A_p12,low,9,1,low_A_001_1,1
2A,crn_2A_p12,high,10,1,high_B_111_2,0
2A,crn_2A_p12,low,11,1,low_A_000_1,1
2A,crn_2A_p12,low,12,1,low_B_111_2,1
2A,crn_2A_p12,high,13,1,high_A_001_2,1
2A,crn_2A_p12,low,14,1,low_A_000_1,1
2A,crn_2A_p12,low,15,1,low_B_111_1,1
2A,crn_2A_p12,low,16,1,low_B_110_2,1
2A,crn_2A_p12,low,17,2,low_B_111_2,1
2A,crn_2A_p12,low,18,2,low_B_110_1,1
2A,crn_2A_p12,high,19,2,high_B_111_2,0
2A,crn_2A_p12,high,20,2,high_A_000_1,1
2A,crn_2A_p12,low,21,2,low_B_111_1,1
2A,crn_2A_p12,high,22,2,high_B_110_1,1
2A,crn_2A_p12,low,23,2,low_A_000_1,0
2A,crn_2A_p12,high,24,2,high_B_111_1,1
2A,crn_2A_p12,low,25,2,low_A_010_1,0
2A,crn_2A_p12,low,26,2,low_B_101_1,1
2A,crn_2A_p12,high,27,2,high_A_000_2,1
2A,crn_2A_p12,high,28,2,high_B_101_2,1
2A,crn_2A_p12,high,29,2,high_A_001_1,1
2A,crn_2A_p12,low,30,2,low_A_000_2,0
2A,crn_2A_p12,high,31,2,high_A_010_2,1
2A,crn_2A_p12,low,32,2,low_A_001_1,1
2A,crn_2A_p12,low,33,3,low_B_110_2,1
2A,crn_2A_p12,high,34,3,high_B_101_1,1
2A,crn_2A_p12,high,35,3,high_B_111_1,1
2A,crn_2A_p12,high,36,3,high_A_000_1,0
2A,crn_2A_p12,low,37,3,low_B_101_2,0
2A,crn_2A_p12,low,38,3,low_B_111_1,1
2A,crn_2A_p12,high,39,3,high_A_001_2,1
2A,crn_2A_p12,low,40,3,low_A_001_2,1
2A,crn_2A_p12,high,41,3,high_B_110_2,1
2A,crn_2A_p12,low,42,3,low_A_010_2,1
2A,crn_2A_p12,high,43,3,high_A_000_1,1
2A,crn_2A_p12,low,44,3,low_A_000_2,1
2A,crn_2A_p12,high,45,3,high_B_111_1,1
2A,crn_2A_p12,high,46,3,high_A_010_1,1
2A,crn_2A_p12,low,47,3,low_B_111_1,1
2A,crn_2A_p12,low,48,3,low_A_000_2,1
2A,crn_2A_p12,low,49,4,low_A_010_1,1
2A,crn_2A_p12,low,50,4,low_A_000_1,1
2A,crn_2A_p12,high,51,4,high_B_111_2,1
2A,crn_2A_p12,high,52,4,high_A_001_1,1
2A,crn_2A_p12,high,53,4,high_B_111_1,1
2A,crn_2A_p12,low,54,4,low_A_001_1,1
2A,crn_2A_p12,high,55,4,high_A_010_2,1
2A,crn_2A_p12,high,56,4,high_B_101_1,1
2A,crn_2A_p12,low,57,4,low_B_111_1,1
2A,crn_2A_p12,high,58,4,high_B_110_2,1
2A,crn_2A_p12,low,59,4,low_B_110_1,1
2A,crn_2A_p12,low,60,4,low_A_000_2,1
2A,crn_2A_p12,high,61,4,high_A_000_2,1
2A,crn_2A_p12,low,62,4,low_B_101_1,1
2A,crn_2A_p12,low,63,4,low_B_111_2,1
2A,crn_2A_p12,high,64,4,high_A_000_1,1
2A,crn_2A_p12,high,65,5,high_B_111_1,1
2A,crn_2A_p12,high,66,5,high_B_110_1,1
2A,crn_2A_p12,low,67,5,low_A_000_2,1
2A,crn_2A_p12,high,68,5,high_A_001_1,1
2A,crn_2A_p12,low,69,5,low_B_101_2,1
2A,crn_2A_p12,high,70,5,high_B_101_2,1
2A,crn_2A_p12,low,71,5,low_A_010_2,1
2A,crn_2A_p12,low,72,5,low_B_110_2,0
2A,crn_2A_p12,low,73,5,low_B_111_2,1
2A,crn_2A_p12,low,74,5,low_B_111_1,1
2A,crn_2A_p12,high,75,5,high_A_000_2,1
2A,crn_2A_p12,low,76,5,low_A_001_2,1
2A,crn_2A_p12,low,77,5,low_A_000_2,1
2A,crn_2A_p12,high,78,5,high_B_111_2,1
2A,crn_2A_p12,high,79,5,high_A_010_1,1
2A,crn_2A_p12,high,80,5,high_A_000_1,1
2A,crn_2A_p12,low,81,6,low_A_010_1,1
2A,crn_2A_p12,high,82,6,high_B_101_1,1
2A,crn_2A_p12,high,83,6,high_A_000_2,1
2A,crn_2A_p12,high,84,6,high_B_111_2,1
2A,crn_2A_p12,high,85,6,high_A_010_2,1
2A,crn_2A_p12,low,86,6,low_A_000_1,1
2A,crn_2A_p12,low,87,6,low_A_000_1,1
2A,crn_2A_p12,high,88,6,high_A_000_2,1
2A,crn_2A_p12,low,89,6,low_B_110_1,1
2A,crn_2A_p12,high,90,6,high_A_001_2,1
2A,crn_2A_p12,low,91,6,low_B_111_2,1
2A,crn_2A_p12,high,92,6,high_B_110_2,0
2A,crn_2A_p12,low,93,6,low_B_101_1,1
2A,crn_2A_p12,low,94,6,low_A_001_2,1
2A,crn_2A_p12,high,95,6,high_B_111_2,1
2A,crn_2A_p12,low,96,6,low_B_111_2,1
2A,crn_2A_p13,high,1,1,high_B_110_1,0
2A,crn_2A_p13,high,2,1,high_A_010_1,0
2A,crn_2A_p13,low,3,1,low_A_000_2,0
2A,crn_2A_p13,low,4,1,low_A_010_2,0
2A,crn_2A_p13,low,5,1,low_B_101_2,0
2A,crn_2A_p13,high,6,1,high_B_111_1,1
2A,crn_2A_p13,high,7,1,high_B_101_1,1
2A,crn_2A_p13,high,8,1,high_A_000_1,1
2A,crn_2A_p13,high,9,1,high_B_111_2,1
2A,crn_2A_p13,high,10,1,high_A_001_2,1
2A,crn_2A_p13,low,11,1,low_B_110_1,0
2A,crn_2A_p13,low,12,1,low_A_001_1,1
2A,crn_2A_p13,low,13,1,low_A_000_1,0
2A,crn_2A_p13,low,14,1,low_B_111_1,0
2A,crn_2A_p13,low,15,1,low_B_111_2,1
2A,crn_2A_p13,high,16,1,high_A_000_1,1
2A,crn_2A_p13,high,17,2,high_A_000_1,1
2A,crn_2A_p13,low,18,2,low_A_010_1,0
