experiment,subject,condition,total_trial_num,block_num,image_name,is_right
1A,p150212,low,1,1,low_B_111,1
1A,p150212,low,2,1,low_A_000,1
1A,p150212,low,3,1,low_A_000,1
1A,p150212,low,4,1,low_B_110,1
1A,p150212,low,5,1,low_B_101,0
1A,p150212,low,6,1,low_B_111,1
1A,p150212,low,7,1,low_A_001,0
1A,p150212,low,8,1,low_A_010,1
1A,p150212,low,9,2,low_B_110,1
1A,p150212,low,10,2,low_A_001,1
1A,p150212,low,11,2,low_A_010,1
1A,p150212,low,12,2,low_A_000,1
1A,p150212,low,13,2,low_B_111,1
1A,p150212,low,14,2,low_B_101,0
1A,p150212,low,15,2,low_A_000,1
1A,p150212,low,16,2,low_B_111,1
1A,p150212,low,17,3,low_A_010,1
1A,p150212,low,18,3,low_A_001,1
1A,p150212,low,19,3,low_A_000,1
1A,p150212,low,20,3,low_B_110,1
1A,p150212,low,21,3,low_B_101,1
1A,p150212,low,22,3,low_A_000,1
1A,p150212,low,23,3,low_B_111,1
1A,p150212,low,24,3,low_B_111,1
1A,p157080,low,1,1,low_B_111,1
1A,p157080,low,2,1,low_A_001,1
1A,p157080,low,3,1,low_A_010,0
1A,p157080,low,4,1,low_B_111,1
1A,p157080,low,5,1,low_B_101,0
1A,p157080,low,6,1,low_A_000,0
1A,p157080,low,7,1,low_B_110,1
1A,p157080,low,8,1,low_A_000,1
1A,p157080,low,9,2,low_B_101,0
1A,p157080,low,10,2,low_B_111,1
1A,p157080,low,11,2,low_B_110,1
1A,p157080,low,12,2,low_B_111,1
1A,p157080,low,13,2,low_A_000,1
1A,p157080,low,14,2,low_A_010,0
1A,p157080,low,15,2,low_A_000,1
1A,p157080,low,16,2,low_A_001,1
1A,p157080,low,17,3,low_B_101,0
1A,p157080,low,18,3,low_A_000,1
1A,p157080,low,19,3,low_B_111,1
1A,p157080,low,20,3,low_B_110,1
1A,p157080,low,21,3,low_B_111,1
1A,p157080,low,22,3,low_A_000,1
1A,p157080,low,23,3,low_A_001,1
1A,p157080,low,24,3,low_A_010,0
1A,p191463,low,1,1,low_A_001,1
1A,p191463,low,2,1,low_A_000,1
1A,p191463,low,3,1,low_B_101,1
1A,p191463,low,4,1,low_B_111,1
1A,p191463,low,5,1,low_B_110,1
1A,p191463,low,6,1,low_B_111,1
1A,p191463,low,7,1,low_A_010,1
1A,p191463,low,8,1,low_A_000,1
1A,p191463,low,9,2,low_B_101,1
1A,p191463,low,10,2,low_B_110,1
1A,p191463,low,11,2,low_A_000,1
1A,p191463,low,12,2,low_B_111,1
1A,p191463,low,13,2,low_A_001,1
1A,p191463,low,14,2,low_A_000,1
1A,p191463,low,15,2,low_A_010,1
1A,p191463,low,16,2,low_B_111,1
1A,p191463,low,17,3,low_A_000,1
1A,p191463,low,18,3,low_A_010,1
1A,p191463,low,19,3,low_B_111,1
1A,p191463,low,20,3,low_B_101,1
1A,p191463,low,21,3,low_A_000,1
1A,p191463,low,22,3,low_B_110,1
1A,p191463,low,23,3,low_B_111,0
1A,p191463,low,24,3,low_A_001,1
1A,p20905,high,1,1,high_B_111,1
1A,p20905,high,2,1,high_B_111,1
1A,p20905,high,3,1,high_B_110,1
1A,p20905,high,4,1,high_B_101,0
1A,p20905,high,5,1,high_A_001,1
1A,p20905,high,6,1,high_A_010,1
1A,p20905,high,7,1,high_A_000,1
1A,p20905,high,8,1,high_A_000,1
1A,p20905,high,9,2,high_B_101,1
1A,p20905,high,10,2,high_A_001,1
1A,p20905,high,11,2,high_A_010,1
1A,p20905,high,12,2,high_B_111,1
1A,p20905,high,13,2,high_B_111,1
1A,p20905,high,14,2,high_B_110,1
1A,p20905,high,15,2,high_A_000,1
1A,p20905,high,16,2,high_A_000,1
1A,p20905,high,17,3,high_B_110,1
1A,p20905,high,18,3,high_A_001,1
1A,p20905,high,19,3,high_A_000,1
1A,p20905,high,20,3,high_B_101,1
1A,p20905,high,21,3,high_B_111,1
1A,p20905,high,22,3,high_B_111,1
1A,p20905,high,23,3,high_A_000,1
1A,p20905,high,24,3,high_A_010,1
1A,p213384,high,1,1,high_B_101,1
1A,p213384,high,2,1,high_A_001,1
1A,p213384,high,3,1,high_A_000,1
1A,p213384,high,4,1,high_A_000,1
1A,p213384,high,5,1,high_B_111,1
1A,p213384,high,6,1,high_B_110,1
1A,p213384,high,7,1,high_B_111,1
1A,p213384,high,8,1,high_A_010,1
1A,p213384,high,9,2,high_B_110,1
